Product Name,Purpose,RAM,SSD,Operating System,Price,Product Rating
Asus ExpertBook B1 i3 1215U / 8ГБ / 256SSD / 15.6 / Win11 / (B1500CBA-BQ0558W),For study,8.0,256.0,Win11,259 990 ₸,
"Apple MacBook Air 15 Midnight 2024 M3 / 8ГБ / 512SSD / 15,3 / Mac OS Sonoma / (MRYV3RU/A)",For study,8.0,512.0,MacOS,979 990 ₸,
Ультрабук HP Spectre x360 14-eu0006ci U5 125H / 16ГБ / 1000SSD / 14 / Win11 / (9U023EA),Both,16.0,1000.0,Win11,829 990 ₸,
HP 15-fd0196ci i5 1334U / 16GB / 512SSD / Win11 / 15.6 / (AE0K1EA),For study,,512.0,Win11,359 900 ₸,
HP VICTUS 15-fa0065ci i5 12450H / 16ГБ / 512SSD / RTX3050 4ГБ / 15.6 / DOS / (809P6EA),For game,16.0,512.0,DOS,399 990 ₸,4.2
Asus TUF Gaming A15 Ryzen 5 7535HS / 16ГБ / 512SSD / RTX4050 6ГБ / 15.6 / DOS / (FA507NU-LP141),For game,16.0,512.0,DOS,489 990 ₸,5.0
HUAWEI MateBook D15 Ryzen 7 5700U/ 8ГБ / 512SSD / 15.6 / Win11 / (BohrM-WDP9A),For study,8.0,512.0,Win11,269 990 ₸,
HP 15s-eq2031ci Ryzen 5 5500U / 16ГБ / 512SSD / 15.6 / DOS / (AE0S8EA),For study,16.0,512.0,DOS,224 990 ₸,
Apple MacBook Air Silver M3 / 8ГБ / 256SSD / 15.3 / Mac OS Sonoma / (MRYP3RU/A),For study,8.0,256.0,MacOS,849 990 ₸,
Asus VivoBook 15 i5 1335U/ 16ГБ / 512SSD / 15.6 / DOS / (X1504VA-BQ399),For study,16.0,512.0,DOS,286 990 ₸,
HP 14-ep0011ci Ci3 1315U / 8GB / SSD 512GB / DOS / 14 / (7Y2A8EA),For study,,,DOS,229 990 ₸,
Asus Vivobook 15 i7 1355U / 16ГБ / 1000SSD / 15.6 / DOS / (X1504VA-BQ1222),For study,16.0,1000.0,DOS,345 990 ₸,
Apple MacBook Air Space Grey 2024 M3 / 8GB / 512SSD / 15.3 / Mac OS Sonoma / (MRYN3RU/A),For study,,512.0,MacOS,979 990 ₸,
Asus ExpertBook U7 155U / 16ГБ / 1000SSD / 16 / Win11 / (B3604CMA-Q90284W),For study,16.0,1000.0,Win11,519 990 ₸,
Apple MacBook Air Silver M2 / 8ГБ / 256SSD / 13.6 / Mac OS Monterey / (MLXY3RU/A),For study,8.0,256.0,MacOS,499 990 ₸,5.0
HP VICTUS 15-fa0064ci i5 12450H / 16ГБ / 512SSD / RTX3050 4ГБ / 15.6 / Win 11 / (809P5EA),For game,16.0,512.0,Win11,439 990 ₸,4.3
Asus ExpertBook Copilot+ PC/ U5 228V / 32GB / SSD1000GB / DOS / 1 / (P5405CSA-NZ0275),For study,,,DOS,569 990 ₸,
Apple MacBook Air Midnight M2 / 8ГБ / 512SSD / 13.6 / Mac OS Monterey / (MLY43RU/A),For study,8.0,512.0,MacOS,649 990 ₸,
Asus ExpertBook i3 1215U / 8ГБ / 256SSD / 15.6 / DOS / (B1502CBA-BQ1846),For study,8.0,256.0,Win11,229 990 ₸,5.0
HP Pavilion 15-eh3056ci Ryzen 7 7730U / 16ГБ / 512SSD / 15.6 / Win11 / (A19W6EA),For study,16.0,512.0,Win11,429 990 ₸,
Ультрабук Asus Vivobook 16 Ryzen 5 7530U / 8ГБ / 512SSD / 16 / DOS / (M1605YA-MB133),Both,8.0,512.0,DOS,249 990 ₸,
Asus ExpertBook Ci3 N305 / 8GB / SSD 256GB / 15.6 / (B1502CGA-BQ0721),For study,,,Win11,229 990 ₸,
"HP OMEN 16-wf0022ci i5 13500HX / 16 / 512 SSD / RTX4060 8 GB / 16,1 / DOS / (804H0EA)",For game,,512.0,DOS,763 990 ₸,
Dell Vostro 3530 Ci5 1334U / 8GB / SSD 512GB / DOS / 15.6 / (N3409PVNB3530),For study,,,DOS,299 990 ₸,
Asus Vivobook Go 15 OLED Ryzen 5 7520U / 8ГБ / 512SSD / 15.6 / Win11 / (E1504FA-L1180W),For study,8.0,512.0,Win11,263 990 ₸,
Honor MagicBook X16 BRN-F56 i5 12450H / 16ГБ / 512SSD / 16 / DOS / (Born-F5651C),For study,16.0,512.0,DOS,299 990 ₸,
HP 15s-eq2013ci Ryzen 7 5700U / 8ГБ / 512SSD / 15.6 / DOS / (9R256EA),For study,8.0,512.0,DOS,259 990 ₸,
Asus Vivobook Go 15 Ci3 N305 / 8GB / SSD256GB / Win11 / 15.6 / (E1504GA-BQ675W),For study,,,Win11,259 990 ₸,
Ультрабук Asus Zenbook S 14 OLED Copilot+ PC/ U7 258V / 32ГБ / 1024SSD / 14 / Win11 / (UX5406SA-PV331W),Both,32.0,1024.0,Win11,944 990 ₸,
Asus ExpertBook 3 i3 1215U / 8ГБ / 512 SSD / 15.6 / DOS / (B1502CBA-BQ2949),For study,8.0,512.0,DOS,229 990 ₸,
Ультрабук Lenovo Yoga Slim 7 14Q8X9 Copilot+ PC Snapdragon X1E78100 / 32GB SSD 1TB / Win 11 / 14.5 / (83ED0049RK),Both,,,DOS,879 990 ₸,
Apple MacBook Air Space Gray M2 / 8ГБ / 256SSD / 13.6 / Mac OS Monterey / (Z15S000NB),For study,8.0,256.0,MacOS,399 990 ₸,5.0
Ультрабук Asus Vivobook S 15 OLED Copilot+ PC X1E 78 100 / 32ГБ / 1000SSD / 15.6 / Win11 / (S5507QA-MA079W),Both,32.0,1000.0,Win11,759 990 ₸,5.0
Apple MacBook Pro Silver M3 Max / 36ГБ / 1000SSD / 16.2 / Mac OS Sonoma / (MRW73RU/A),For study,36.0,1000.0,MacOS,2 234 990 ₸,
HP VICTUS 15-fa0019ci i5 12500H / 8ГБ / 512SSD / RTX3050 4ГБ / 15.6 / DOS / (6K5S7EA),For game,8.0,512.0,DOS,359 990 ₸,4.0
Asus ROG Zephyrus Duo 16 Ryzen 9 7945HX / 32ГБ / 2000SSD / RTX4090 16ГБ / 16 / Win 11 / (GX650PY-NM040W),For game,32.0,2000.0,Win11,1 899 990 ₸,
MSI Thin 15 B12UC i5 12450H / 16ГБ / 512SSD / RTX3050 4ГБ / 15.6 / DOS / (9S7-16R831-1821),For game,16.0,512.0,DOS,389 990 ₸,
Asus ROG Zephyrus G16 U7 155H / 16ГБ / 1000SSD / RTX4060 8Б / 8 / DOS / (GU605MV-QR169),For game,16.0,1000.0,DOS,854 990 ₸,
Ультрабук Asus ProArt P16 Copilot+ PC Ryzen 9 HX 370 / 32ГБ / 1000SSD / RTX 4060 8ГБ / 16 / Win11Pro / (H7606WV-ME080X),Both,32.0,1000.0,Win11,1 399 990 ₸,
Apple MacBook Air Retina Silver M1 / 8ГБ / 256SSD / 13 / Mac OS Big Sur / (MGN93RU/A),For study,8.0,256.0,MacOS,439 990 ₸,4.9
HP Pavilion Plus 16-ab0002ci i5 13500H / 16 / 512 SSD / 16 / Win 11 / (9U025EA),For study,,512.0,Win11,509 990 ₸,
HP Omen i5 14500HX / 16ГБ / 1000SSD / RTX4060 8ГБ / 16.1 / DOS / (A1UX8EA),For game,16.0,1000.0,DOS,844 990 ₸,
Ультрабук Asus Zenbook B9403CVA i7 1355U / 16ГБ / 512SSD / 14 / Win11 / (B9403CVA-KM0191X),Both,16.0,512.0,Win11,629 990 ₸,
HP OMEN 16-xf0001ci Ryzen 7 7840HS / 16ГБ / 1000SSD / RTX4070 8ГБ / 16.1 / Win 11 / (7Z7V2EA),For game,16.0,1000.0,Win11,954 990 ₸,
Apple MacBook Silver M3 Pro / 18ГБ / 512SSD / 16.2 / Mac OS Sonoma / (MRW43RU/A),For study,18.0,512.0,MacOS,1 594 990 ₸,
Asus TUF Gaming F15 i7 13620H / 16ГБ / 512SSD / RTX4060 8ГБ / 15.6 / DOS/ (FX507VV-LP186),For game,16.0,512.0,DOS,627 990 ₸,
Asus ROG Strix G16 i7 13650HX / 16ГБ / 1000SSD / RTX4080 12ГБ / 16 / Win 11 / (G614JZ-N3030W),For game,16.0,1000.0,Win11,1 089 990 ₸,4.7
Asus VivoBook Pro 15 OLED M3500QA Ryzen 7 5800H / 8ГБ / 512SSD / 15.6 / Win10 / (M3500QA-L1066T),For study,8.0,512.0,Win10,279 990 ₸,5.0
"HP OMEN 14-fb0024ci Core U9 185H / 16GB / SSD 1000GB / RTX 4070 8GB / DOS / 14"" (A9DS4EA)",For game,,,DOS,1 179 990 ₸,
MSI Katana A15 AI B8VG Ryzen 9 8945HS / 16GB / SSD 1TB / RTX 4070 8GB / DOS / 15.6 / (Katana A15 AI B8VG),For game,,,DOS,939 990 ₸,
HP 15-fc0087ci Ryzen 7 7730U / 8GB / 512SSD / DOS / 15.6 / (B4ND4EA),For study,,512.0,DOS,269 990 ₸,
Asus ROG Zephyrus G14 Ryzen 7 8845HS / 16ГБ / 1000SSD / RTX4050 6ГБ / 14 / DOS / (GA403UU-QS080),For game,16.0,1000.0,DOS,839 990 ₸,
"Apple MacBook Air 13 Starlight 2024 M3 / 8ГБ / 512SSD / 13,6 / Mac OS Sonoma / (MRXU3RU/A)",For study,8.0,512.0,MacOS,849 990 ₸,
"HP OMEN 17-ck2001ci i9 13900HX / 32 / 2000SSD / RTX4090 16GB / 17,3 / DOS / (7Z7P4EA)",For game,,2000.0,DOS,1 899 900 ₸,
Asus ROG Zephyrus G16 Ci7 13620H / 16ГБ / 1000SSD / RTX4050 6ГБ / 16 / DOS / (GU603VU-N4094),For game,16.0,1000.0,DOS,699 990 ₸,
Apple MacBook Air Retina Gold M1 / 8ГБ / 256SSD / 13 / Mac OS Big Sur / (MGND3RU/A),For study,8.0,256.0,MacOS,439 990 ₸,5.0
Apple MacBook Pro Silver M2 / 8ГБ / 256SSD / 13 / Mac OS Monterey / (MNEP3RU/A),For study,8.0,256.0,MacOS,569 990 ₸,
Ультрабук Asus ExpertBook i7 1355U / 32ГБ / 2000SSD / 14 / Win11pro / (B9403CVA-KM0630X),Both,32.0,2000.0,Win11,879 990 ₸,
Ультрабук Asus Zenbook S 16 OLED Copilot+ PC/ Ryzen 9 HX 370 / 32ГБ / 1000SSD / 16 / Win11 / (UM5606WA-RK220W),Both,32.0,1000.0,Win11,989 990 ₸,
MSI Thin 15 B13VE i5-13420H / 16ГБ / 512SSD / RTX4050 6ГБ / 15.6 / DOS / (9S7-16R831-2048),For game,16.0,512.0,DOS,479 990 ₸,
Ультрабук Asus Zenbook 14X OLED i5 13500H / 16ГБ / 512SSD / 14.5 / Win11 / (UX3404VA-M9015W),Both,16.0,512.0,Win11,499 990 ₸,
Asus VivoBook Pro 15 M3500QA Ryzen 7 5800H / 8ГБ / 512SSD / 15.6 / Win10 / (M3500QA-KJ086T),For study,8.0,512.0,Win10,296 990 ₸,
Ультрабук Asus Zenbook Pro Duo OLED i7 12700H / 16ГБ / 1000SSD / RTX3050 Ti 4ГБ / 14.5 / Win11 / (UX8402ZE-M3026W),Both,16.0,1000.0,Win11,899 990 ₸,
Lenovo Legion Slim 5 16ARP9 Ryzen 7 7735HS / 16GB / SSD 1TB / RTX4070 8GB / DOS / 16 / (83EX000URK),For game,,,DOS,934 990 ₸,
Asus ROG Zephyrus G16 U7 155H / 32ГБ / 1000SSD / RTX4070 8ГБ / 16 / DOS / (GU605MI-QR258),For game,32.0,1000.0,DOS,1 236 990 ₸,
Acer Aspire 5 A515-58P-53Y4 i5 1335U/ 16ГБ /512SSD /15.6 /DOS /(NX.KHJER.005),For study,16.0,512.0,DOS,383 990 ₸,
Asus ExpertBook i5 1335U / 16ГБ / 1000SSD / 16 / Win11 / (B3604CVA-Q90180W),For study,16.0,1000.0,Win11,439 990 ₸,
Lenovo IdeaPad 3 Ryzen 5 3500U / 8ГБ / 512SSD / 14 / Win11 / (81W000VKRU),For study,8.0,512.0,Win11,294 990 ₸,4.5
HP 15-fd0122ci Ci5 1334U / 8GB / SSD 512GB / DOS / 15.6 / (AF6D2EA),For study,,,DOS,299 990 ₸,
HP 15-fd0008ci Intel N200 / 8GB / SSD 256GB / DOS / 15.6 / (7P555EA),For study,,,DOS,194 990 ₸,
Apple MacBook Pro Space Grey M3 / 8ГБ / 1000SSD / 14.2 / Mac OS Sonoma / (MTL83RU/A),For study,8.0,1000.0,MacOS,1 149 990 ₸,
HP VICTUS 16-r0005ci Ci7 13700H / 16GB / SSD 1000GB/ RTX 4050 6GB / DOS / 16.1 / (7Y2F7EA),For game,,,DOS,714 990 ₸,
HP 14-ep1010ci Ci5 120U / 8GB / SSD 512GB / Win 11 / 14 / (A1UW7EA),For study,,,Win11,345 990 ₸,
HP Pavilion 15-eh3060ci Ryzen 7 7730U / 16ГБ / 512SSD / 15.6 / Win11 / (A14WKEA),For study,16.0,512.0,Win11,389 990 ₸,
Asus TUF Gaming F15 Ci7 13620H / 16GB / 1TB / RTX4070 8GB / DOS / 15.6 / (FX507VI-LP075),For game,,,DOS,799 990 ₸,
Apple MacBook Silver M3 Pro / 36ГБ / 512SSD / 16.2 / Mac OS Sonoma / (MRW63RU/A),For study,36.0,512.0,MacOS,1 849 990 ₸,
Ультрабук HP Spectre x360 16-aa0008ci U7 155H / 16ГБ / 1000SSD / 16 / Win11 / (A23WKEA),Both,16.0,1000.0,Win11,1 199 990 ₸,
"Apple MacBook Air 13 Midnight 2024 M3 / 8ГБ / 512SSD / 13,6 / Mac OS Sonoma / (MRXW3RU/A)",For study,8.0,512.0,MacOS,849 990 ₸,
HP 15s-eq2027ci Ryzen 5 5500U /8ГБ / 512SSD / 15.6 / Win11 / (A1NR0EA),For study,8.0,512.0,Win11,239 990 ₸,5.0
HP OMEN 14-fb0029ci U7 155H / 16GB / SSD 1000GB / RTX4060 8GB / DOS / 14 / (A19GKEA),For game,,,DOS,1 004 990 ₸,
Apple MacBook Air Space Grey 2024 M3 / 8GB / 256SSD / 15.3 / Mac OS Sonoma / (MRYM3RU/A),For study,,256.0,MacOS,849 990 ₸,
HP Pavilion 15-eg3065ci Ci7 1335U / 16GB / SSD 512GB / DOS / (AD9W1EA),For study,,,DOS,484 990 ₸,
HP Pavilion 15-eg3015ci ci5 1335U / 16ГБ / 512SSD / 15.6 / DOS/ (7P4E1EA),For study,16.0,512.0,DOS,364 990 ₸,
Apple MacBook Pro Silver M3 / 8ГБ / 1000SSD / 14.2 / Mac OS Sonoma / (MR7K3RU/A),For study,8.0,1000.0,MacOS,1 149 990 ₸,
Apple MacBook Pro Space Black M3 Max / 36ГБ / 1000SSD / 16.2 / Mac OS Sonoma / (MRW33RU/A),For study,36.0,1000.0,MacOS,2 234 990 ₸,
Ультрабук HP Spectre x360 14-eu0007ci U5 125H / 16ГБ / SSD512 / 14 / Win / (A1AA3EA),Both,16.0,,Win11,774 990 ₸,
Ультрабук Asus Zenbook Pro 16X OLED i7 12700H / 16ГБ / 1000SSD / RTX3060 6ГБ / 16 / Win11 / (UX7602ZM-ME096W),Both,16.0,1000.0,Win11,999 990 ₸,
Asus Vivobook 16X Ci5 12500H / 16ГБ / 512 SSD / 16 / DOS / RTX 3050 4ГБ / (K3605ZC-RP636),For study,16.0,512.0,DOS,459 990 ₸,
Apple MacBook Pro Space Grey 2023 M2 Pro / 16ГБ / 512SSD / 16 / Mac OS Ventura / (MNW83RU/A),For study,16.0,512.0,MacOS,1 579 990 ₸,5.0
HP Pavilion Plus 14-eh1008ci i5 13500H / 16ГБ / 512SSD / 14 / DOS / (7P4Z5EA),For study,16.0,512.0,DOS,459 990 ₸,
HP OMEN 17-ck2003ci Ci9 13900HX / 32GB / SSD 2000GB / RTX4080 12 / DOS / 17.3 / (7Z7V4EA),For game,,,DOS,1 639 990 ₸,
Apple MacBook Pro Silver M3 Max / 48ГБ / 1000SSD / 16.2 / Mac OS Sonoma / (MUW73RU/A),For study,48.0,1000.0,MacOS,2 554 990 ₸,
Apple MacBook Air Starlight M3 / 8ГБ / 256SSD / 15.3 / Mac OS Sonoma / (MRYR3RU/A),For study,8.0,256.0,MacOS,849 990 ₸,
Ультрабук HP Spectre x360 14-eu0005ci U5 125H / 16ГБ / 1000SSD / 14 / Win11 / (9U022EA),Both,16.0,1000.0,Win11,829 990 ₸,
Lenovo IdeaPad 3 i5 1235U / 8ГБ / 512SSD / 15.6 / DOS / (82RK00EVRK),For study,8.0,512.0,DOS,249 990 ₸,4.5
Apple MacBook Air Starlight M2 / 8ГБ / 512SSD / 13.6 / Mac OS Monterey / (MLY23RU/A),For study,8.0,512.0,MacOS,649 990 ₸,
HP OMEN 16-wd0005ci i7 13620H / 16ГБ / 1000SSD / RTX4060 8ГБ / 16.1 / DOS / (804G1EA),For game,16.0,1000.0,DOS,814 990 ₸,
Asus TUF Gaming A17 Ryzen 7 7435HS / 16ГБ / 512SSD / RTX4060 8ГБ / 17.3 / DOS / (FA707NVR-HX023),For game,16.0,512.0,DOS,659 990 ₸,
HP Pavilion x360 14-ek1001ci i7 1355U / 16ГБ / 512SSD / 14 / Win11 / (7P4V3EA),For study,16.0,512.0,Win11,509 990 ₸,
"Ультрабук HP Spectre x360 14-ef2002ci i7 1335U / 16 / 1000 SSD / 13,5 / W / (827M9EA)",Both,,1000.0,Win11,837 990 ₸,
Apple MacBook Air Silver 2024 M3 / 8ГБ / 512SSD / 13 / Mac OS Sonoma / (MRXR3RU/A),For study,8.0,512.0,MacOS,849 990 ₸,
Apple MacBook Pro Space Black M3 Max / 36ГБ / 1000SSD / 14.2 / Mac OS Sonoma / (MRX53RU/A),For study,36.0,1000.0,MacOS,2 039 990 ₸,
"HP OMEN 16-wf0021ci i7 13700HX / 16 / 512 SSD / RTX4060 8 GB / 16,1 / DOS / (804G9EA)",For game,,512.0,DOS,819 990 ₸,
Ультрабук Asus Zenbook S16 Ryzen 9 365 / 24ГБ / 1024SSD / 16 / Win11 / (UM5606WA-RK252W),Both,24.0,1024.0,Win11,999 990 ₸,
"HP OMEN 16-wf0018ci i7 13700HX / 16 / 512 SSD / RTX4070 8 GB / 16,1 / DOS / (804G6EA)",For game,,512.0,DOS,938 990 ₸,
Ультрабук Asus VivoBook S14 U5 226V / 16ГБ / 1024SSD / 14 / Win11 / (S5406SA-QD183W),Both,16.0,1024.0,Win11,669 990 ₸,
"HP OMEN 16-wf0020ci i5 13500HX / 16 / 1000 SSD / RTX4060 8 GB / 16,1 / DOS / (804G7EA)",For game,,1000.0,DOS,826 990 ₸,
Apple MacBook Air 15 Starlight 2023 M2 / 8ГБ / 256SSD / 15 / Mac OS Monterey / (MQKU3RU/A),For study,8.0,256.0,MacOS,799 990 ₸,
Apple MacBook Pro Silver M3 Max / 36ГБ / 1000SSD / 14.2 / Mac OS Sonoma / (MRX83RU/A),For study,36.0,1000.0,MacOS,2 039 990 ₸,
HP 15s-fc0019ci Ryzen 5 7520U / 16ГБ / 512SSD / 15.6 / DOS / (7P509EA),For study,16.0,512.0,DOS,269 990 ₸,
Apple MacBook Air 15 Starlight 2023 M2 / 8ГБ / 512SSD / 15 / Mac OS Monterey / (MQKV3RU/A),For study,8.0,512.0,MacOS,919 990 ₸,